,Number of Completed Trips,Number of Uncompleted Trips,Number of Completed Orders,Number of Uncompleted Orders,Total Distance Completed Orders (km),Total Distance Uncompleted Orders (km),Total Time Completed Orders (hrs),Total Time Uncompleted Orders (hrs),Average Distance for Successful Orders (km),Average Time for Successful Orders (hrs)
0,4,0,49,0,327.66044968486017,0.0,10.92201498949534,0.0,81.91511242121504,2.730503747373835
1,3,0,40,0,253.88208335996418,0.0,8.462736111998806,0.0,84.62736111998807,2.8209120373329353
2,4,2,58,28,371.31731632323465,193.40313668063718,12.377243877441156,6.4467712226879055,92.82932908080866,3.094310969360289
3,4,0,51,0,374.31785416934076,0.0,12.477261805644691,0.0,93.57946354233519,3.1193154514111727
4,4,0,58,0,298.80255190640344,0.0,9.96008506354678,0.0,74.70063797660086,2.490021265886695
5,4,1,50,13,354.8140566447048,126.60477917287004,11.82713522149016,4.220159305762334,88.7035141611762,2.95678380537254
6,3,0,42,0,268.41052382232226,0.0,8.947017460744075,0.0,89.47017460744075,2.9823391535813584
7,4,2,44,25,372.3118862598045,209.05494113092445,12.41039620866015,6.968498037697482,93.07797156495113,3.1025990521650373
8,4,1,58,14,384.41372738222617,80.19156270186639,12.813790912740874,2.673052090062213,96.10343184555654,3.2034477281852185
9,1,0,13,0,94.94425172905383,0.0,3.164808390968461,0.0,94.94425172905383,3.164808390968461
10,1,0,5,0,64.83214203917888,0.0,2.1610714013059624,0.0,64.83214203917888,2.1610714013059624
11,3,0,36,0,293.2882730645082,0.0,9.77627576881694,0.0,97.7627576881694,3.258758589605647
12,4,0,37,0,279.23426209265773,0.0,9.307808736421926,0.0,69.80856552316443,2.3269521841054814
13,4,0,48,0,393.62251202986226,0.0,13.120750400995409,0.0,98.40562800746557,3.280187600248852
14,4,2,50,28,366.9341925296369,179.01588547407215,12.231139750987897,5.967196182469072,91.73354813240923,3.057784937746974
15,2,0,19,0,113.58713002949281,0.0,3.78623766764976,0.0,56.793565014746406,1.89311883382488
16,4,0,52,0,381.8051897954575,0.0,12.726839659848583,0.0,95.45129744886438,3.1817099149621457
