,product_id,Most_Ordered_Products_Count,Frec_relativa,Frec_acumulada,Lim_inf,Lim_sup
4380,0ab80f38a21093b448518f68efe82c24,1,5.600672080649678e-05,0.2453654438532558,0.2453094371324493,0.2453654438532558
4381,42a735673c53cddc4fcb42935065465a,1,5.600672080649678e-05,0.24542145057406228,0.2453654438532558,0.24542145057406228
4382,42a2bd596fda1baef5719cb74f73030c,1,5.600672080649678e-05,0.24547745729486878,0.24542145057406228,0.24547745729486878
4383,429e7401fafb76436f15e86498bd7364,1,5.600672080649678e-05,0.24553346401567527,0.24547745729486878,0.24553346401567527
4384,0b1737a3a63fdc90fb30dccdffcace42,1,5.600672080649678e-05,0.24558947073648177,0.24553346401567527,0.24558947073648177
4385,0b1b6ca8b113c570aa56916becb81192,1,5.600672080649678e-05,0.24564547745728826,0.24558947073648177,0.24564547745728826
4386,0b2b7a2dbcdf63ca0044d9e9ef8aa4fa,1,5.600672080649678e-05,0.24570148417809476,0.24564547745728826,0.24570148417809476
4387,4283bfae8ccecf22edb4cc17084aeab0,1,5.600672080649678e-05,0.24575749089890125,0.24570148417809476,0.24575749089890125
4388,0b33e28a934b68a0475650499b9ae509,1,5.600672080649678e-05,0.24581349761970775,0.24575749089890125,0.24581349761970775
4389,426f910ccd39ae5e7d55013c466fe343,1,5.600672080649678e-05,0.24586950434051424,0.24581349761970775,0.24586950434051424
4390,426596c392468d670e27195c23a6c3fe,1,5.600672080649678e-05,0.24592551106132074,0.24586950434051424,0.24592551106132074
4391,42b09cad481a278155d0207fbbaa845a,1,5.600672080649678e-05,0.24598151778212723,0.24592551106132074,0.24598151778212723
4392,42629edd68bffc7993ce24e1a86ebc96,1,5.600672080649678e-05,0.24603752450293373,0.24598151778212723,0.24603752450293373
4393,0b37bd7d994d4ab29992281e2690ad1a,1,5.600672080649678e-05,0.24609353122374023,0.24603752450293373,0.24609353122374023
4394,4231002e80d2a25aed31d65b4b91f479,1,5.600672080649678e-05,0.24614953794454672,0.24609353122374023,0.24614953794454672
4395,42283300f3811baee739f5f6edc6feee,1,5.600672080649678e-05,0.24620554466535322,0.24614953794454672,0.24620554466535322
4396,0b3c2ee3c7994b5b9ebdddb2372d6f9c,1,5.600672080649678e-05,0.2462615513861597,0.24620554466535322,0.2462615513861597
4397,0b3de7b77f38988388362460d76d884f,1,5.600672080649678e-05,0.2463175581069662,0.2462615513861597,0.2463175581069662
4398,421fbb32d56489554d727fbd4b2fa65d,1,5.600672080649678e-05,0.2463735648277727,0.2463175581069662,0.2463735648277727
4399,4219bea6cb9e38ad99b7e380bc11fb16,1,5.600672080649678e-05,0.2464295715485792,0.2463735648277727,0.2464295715485792
4400,420575f8e2c456d57fd9ea8fe99090f9,1,5.600672080649678e-05,0.2464855782693857,0.2464295715485792,0.2464855782693857
4401,41f6cb7c3b1200749326e50106f32d58,1,5.600672080649678e-05,0.2465415849901922,0.2464855782693857,0.2465415849901922
4402,41f447e263110b954a7e52f6052ab5e1,1,5.600672080649678e-05,0.24659759171099868,0.2465415849901922,0.24659759171099868
4403,0b349a8595d271e85a0514fe541953fd,1,5.600672080649678e-05,0.24665359843180518,0.24659759171099868,0.24665359843180518
4404,4535b0e1091c278dfd193e5a1d63b39f,1,5.600672080649678e-05,0.24670960515261167,0.24665359843180518,0.24670960515261167
4405,42bcfb513ed8c673eb7ddb4ddfaf9347,1,5.600672080649678e-05,0.24676561187341817,0.24670960515261167,0.24676561187341817
4406,42c9f35641e6be42fa5a86a7b2ea46e4,1,5.600672080649678e-05,0.24682161859422466,0.24676561187341817,0.24682161859422466
4407,0ac092fcd35bffaeb624017d498172d1,1,5.600672080649678e-05,0.24687762531503116,0.24682161859422466,0.24687762531503116
4408,0ac4b9dc5e23908abf09e13da3ea1bbb,1,5.600672080649678e-05,0.24693363203583765,0.24687762531503116,0.24693363203583765
4409,43944a8f8f0b7ae86b6c3d3c2f257375,1,5.600672080649678e-05,0.24698963875664415,0.24693363203583765,0.24698963875664415
4410,438b5ad4eda7949fae4a4b834a69bcd6,1,5.600672080649678e-05,0.24704564547745064,0.24698963875664415,0.24704564547745064
4411,0ad10ec3dc489499e5d7cd19b5181ffe,1,5.600672080649678e-05,0.24710165219825714,0.24704564547745064,0.24710165219825714
4412,4374f5c6e8ab35133a8dbc5517ec0388,1,5.600672080649678e-05,0.24715765891906363,0.24710165219825714,0.24715765891906363
4413,43706a3188de57bb50aa9f10e3b2fbde,1,5.600672080649678e-05,0.24721366563987013,0.24715765891906363,0.24721366563987013
4414,436f1aaf28631abf937c44f695d3c350,1,5.600672080649678e-05,0.24726967236067662,0.24721366563987013,0.24726967236067662
4415,436bc964ed67950b4956ce42cda4b350,1,5.600672080649678e-05,0.24732567908148312,0.24726967236067662,0.24732567908148312
4416,4363f22966358bced013833537034474,1,5.600672080649678e-05,0.2473816858022896,0.24732567908148312,0.2473816858022896
4417,42c99de3dc62c3687c4c7da629da3c50,1,5.600672080649678e-05,0.2474376925230961,0.2473816858022896,0.2474376925230961
4418,4345b14b84ad05bc0f724913b134c6eb,1,5.600672080649678e-05,0.2474936992439026,0.2474376925230961,0.2474936992439026
4419,4328139cbe9adde0aac493ca9871eab3,1,5.600672080649678e-05,0.2475497059647091,0.2474936992439026,0.2475497059647091
4420,43222c9a989813b389d36fe5a1655c05,1,5.600672080649678e-05,0.2476057126855156,0.2475497059647091,0.2476057126855156
4421,43216537780cef285c670f2b8437ae58,1,5.600672080649678e-05,0.2476617194063221,0.2476057126855156,0.2476617194063221
4422,0afdab080dc525494d5a0adc4c1c0854,1,5.600672080649678e-05,0.24771772612712858,0.2476617194063221,0.24771772612712858
4423,42f61cf5c925b4e7fad27faee993c145,1,5.600672080649678e-05,0.24777373284793508,0.24771772612712858,0.24777373284793508
4424,42ef2bdec0493fd90852352fcfbf2c24,1,5.600672080649678e-05,0.24782973956874157,0.24777373284793508,0.24782973956874157
4425,42ed7ff87eec051d7f9364afbf091dd3,1,5.600672080649678e-05,0.24788574628954807,0.24782973956874157,0.24788574628954807
4426,42e640b8fe7fa0bef227e6ad92c6e9c9,1,5.600672080649678e-05,0.24794175301035457,0.24788574628954807,0.24794175301035457
4427,42e408dbdc12442635dfc2ea9c6a97cc,1,5.600672080649678e-05,0.24799775973116106,0.24794175301035457,0.24799775973116106
