,Number of Completed Trips,Number of Uncompleted Trips,Number of Completed Orders,Number of Uncompleted Orders,Total Distance Completed Orders (km),Total Distance Uncompleted Orders (km),Total Time Completed Orders (hrs),Total Time Uncompleted Orders (hrs),Average Distance for Successful Orders (km),Average Time for Successful Orders (hrs)
0,3,0,36,0,287.8471670291031,0.0,9.59490556763677,0.0,95.9490556763677,3.1983018558789236
1,2,0,20,0,147.95082585906795,0.0,4.931694195302264,0.0,73.97541292953397,2.465847097651132
2,4,0,70,0,425.90175231323,0.0,14.196725077107669,0.0,106.4754380783075,3.549181269276917
3,1,0,8,0,79.01707071850188,0.0,2.633902357283396,0.0,79.01707071850188,2.633902357283396
4,2,0,19,0,170.43222932599855,0.0,5.681074310866618,0.0,85.21611466299927,2.840537155433309
5,4,0,51,0,422.4922861199116,0.0,14.083076203997056,0.0,105.6230715299779,3.520769050999264
6,3,0,37,0,269.557905105164,0.0,8.985263503505468,0.0,89.85263503505467,2.9950878345018226
7,1,0,8,0,69.40631863720492,0.0,2.3135439545734973,0.0,69.40631863720492,2.3135439545734973
8,3,0,43,0,287.49983818555916,0.0,9.58332793951864,0.0,95.83327939518638,3.194442646506213
9,5,0,58,0,426.59020373264497,0.0,14.219673457754833,0.0,85.318040746529,2.8439346915509667
10,6,4,82,41,549.6492260826466,377.3600692085639,18.321640869421554,12.578668973618797,91.60820434710776,3.053606811570259
11,6,0,89,0,602.605872930071,0.0,20.086862431002363,0.0,100.43431215501182,3.3478104051670603
12,5,0,62,0,491.7554876664473,0.0,16.391849588881573,0.0,98.35109753328946,3.2783699177763146
13,1,0,12,0,72.9088244429557,0.0,2.4302941480985236,0.0,72.9088244429557,2.4302941480985236
14,2,0,26,0,184.190350308291,0.0,6.1396783436097,0.0,92.0951751541455,3.06983917180485
15,3,0,38,0,262.2274428489347,0.0,8.740914761631156,0.0,87.40914761631156,2.913638253877052
16,4,0,58,0,399.88364693874445,0.0,13.329454897958147,0.0,99.97091173468611,3.3323637244895368
17,4,0,43,0,361.8989567405811,0.0,12.063298558019373,0.0,90.47473918514528,3.015824639504843
18,4,0,45,0,316.7826779488907,0.0,10.559422598296354,0.0,79.19566948722267,2.6398556495740886
19,4,0,53,0,357.11564798312634,0.0,11.903854932770876,0.0,89.27891199578158,2.975963733192719
20,2,0,21,0,134.10859855523412,0.0,4.470286618507804,0.0,67.05429927761706,2.235143309253902
21,4,0,47,0,377.1882863127446,0.0,12.572942877091487,0.0,94.29707157818615,3.1432357192728717
22,2,0,27,0,175.32911741038555,0.0,5.844303913679519,0.0,87.66455870519277,2.9221519568397594
23,2,0,26,0,170.77929016507807,0.0,5.692643005502601,0.0,85.38964508253903,2.8463215027513007
24,1,0,6,0,66.47392328359977,0.0,2.215797442786659,0.0,66.47392328359977,2.215797442786659
25,5,0,50,0,454.58353410402356,0.0,15.152784470134119,0.0,90.9167068208047,3.030556894026824
26,4,0,45,0,335.67714969339954,0.0,11.189238323113319,0.0,83.91928742334989,2.7973095807783297
27,7,4,104,60,624.0901954484715,404.00972056599727,20.803006514949047,13.466990685533244,89.1557422069245,2.9718580735641495
28,5,0,60,0,425.983423568074,0.0,14.199447452269133,0.0,85.1966847136148,2.8398894904538268
29,3,0,40,0,314.2205756739835,0.0,10.474019189132783,0.0,104.74019189132783,3.4913397297109277
30,5,0,58,0,432.56445161633474,0.0,14.418815053877823,0.0,86.51289032326694,2.8837630107755645
31,2,0,22,0,171.97315779822867,0.0,5.7324385932742885,0.0,85.98657889911433,2.8662192966371443
32,7,0,84,0,583.6638425715844,0.0,19.455461419052813,0.0,83.38054893879777,2.779351631293259
33,4,0,49,0,348.68484381006385,0.0,11.62282812700213,0.0,87.17121095251596,2.9057070317505325
34,3,0,37,0,297.271534796201,0.0,9.909051159873368,0.0,99.09051159873367,3.3030170532911227
