,Number of Completed Trips,Number of Uncompleted Trips,Number of Completed Orders,Number of Uncompleted Orders,Total Distance Completed Orders (km),Total Distance Uncompleted Orders (km),Total Time Completed Orders (hrs),Total Time Uncompleted Orders (hrs),Average Distance for Successful Orders (km),Average Time for Successful Orders (hrs)
24,2,0,26,0,188.582363940422,0.0,6.286078798014066,0.0,94.291181970211,3.143039399007033
25,1,0,11,0,80.55426350387236,0.0,2.6851421167957454,0.0,80.55426350387236,2.6851421167957454
26,5,6,63,92,405.43734018887534,601.3834343471029,13.514578006295846,20.04611447823676,81.08746803777507,2.702915601259169
27,3,0,44,0,314.58486025578287,0.0,10.486162008526096,0.0,104.86162008526095,3.4953873361753653
28,4,0,43,0,326.7269567483554,0.0,10.890898558278515,0.0,81.68173918708885,2.7227246395696287
29,3,0,26,0,173.96849527776914,0.0,5.798949842592304,0.0,57.989498425923045,1.9329832808641012
30,4,1,54,11,413.2212270616997,87.28159071435431,13.774040902056658,2.9093863571451437,103.30530676542493,3.4435102255141645
31,1,0,15,0,84.67934039677232,0.0,2.8226446798924107,0.0,84.67934039677232,2.8226446798924107
32,3,0,30,0,217.76326041940703,0.0,7.258775347313567,0.0,72.58775347313568,2.419591782437856
33,1,0,3,0,19.464482570047316,0.0,0.6488160856682439,0.0,19.464482570047316,0.6488160856682439
34,3,0,27,0,252.91499558106173,0.0,8.430499852702058,0.0,84.30499852702057,2.8101666175673525
35,3,0,41,0,320.1778620557677,0.0,10.672595401858924,0.0,106.72595401858923,3.5575318006196412
36,3,0,52,0,313.1490377493871,0.0,10.438301258312904,0.0,104.38301258312903,3.479433752770968
37,2,0,25,0,153.2985571895219,0.0,5.109951906317396,0.0,76.64927859476094,2.554975953158698
38,3,0,47,0,293.0676130600254,0.0,9.76892043533418,0.0,97.6892043533418,3.2563068117780603
39,4,2,57,25,367.6052418483056,192.08659131222396,12.253508061610187,6.402886377074132,91.9013104620764,3.063377015402547
40,4,0,55,0,375.0344417840621,0.0,12.501148059468736,0.0,93.75861044601552,3.125287014867184
41,4,1,53,17,368.0662246101224,104.01198593973227,12.268874153670748,3.4670661979910755,92.0165561525306,3.067218538417687
42,5,2,56,32,438.287150026606,170.9410779499646,14.609571667553531,5.698035931665487,87.6574300053212,2.9219143335107063
43,3,0,35,0,214.46420535600475,0.0,7.148806845200159,0.0,71.48806845200158,2.3829356150667196
44,2,0,22,0,135.30020634054404,0.0,4.510006878018134,0.0,67.65010317027202,2.255003439009067
45,1,0,14,0,78.25995786608063,0.0,2.6086652622026874,0.0,78.25995786608063,2.6086652622026874
46,1,0,13,0,82.5985657850133,0.0,2.7532855261671103,0.0,82.5985657850133,2.7532855261671103
47,5,0,57,0,404.7511904727968,0.0,13.491706349093226,0.0,80.95023809455935,2.6983412698186453
48,4,0,51,0,335.1624536844629,0.0,11.172081789482098,0.0,83.79061342111572,2.7930204473705245
49,4,6,58,85,397.9416098327123,571.543594145704,13.264720327757077,19.051453138190137,99.48540245817807,3.3161800819392693
50,4,1,73,11,450.45884511566106,101.63230271791636,15.015294837188701,3.3877434239305453,112.61471127891527,3.7538237092971753
51,2,0,21,0,152.48703286408622,0.0,5.08290109546954,0.0,76.24351643204311,2.54145054773477
52,4,2,59,23,374.1308154117303,181.44168508770207,12.47102718039101,6.048056169590069,93.53270385293257,3.1177567950977525
53,2,0,28,0,191.14388631834612,0.0,6.371462877278203,0.0,95.57194315917306,3.1857314386391016
54,4,3,63,37,388.27887125287356,204.6469282592821,12.942629041762453,6.821564275309404,97.06971781321839,3.2356572604406133
55,2,0,25,0,166.07628390156765,0.0,5.535876130052255,0.0,83.03814195078382,2.7679380650261276
56,4,0,56,0,336.58768087552613,0.0,11.219589362517537,0.0,84.14692021888153,2.8048973406293842
57,3,0,39,0,291.2854194756776,0.0,9.709513982522587,0.0,97.09513982522587,3.2365046608408625
58,1,0,5,0,87.15807209674699,0.0,2.9052690698915664,0.0,87.15807209674699,2.9052690698915664
59,2,0,24,0,157.4466468966944,0.0,5.248221563223146,0.0,78.7233234483472,2.624110781611573
60,1,0,13,0,95.31036961451272,0.0,3.1770123204837573,0.0,95.31036961451272,3.1770123204837573
61,4,1,53,13,373.3620102496156,98.64770685479607,12.445400341653853,3.288256895159869,93.3405025624039,3.1113500854134633
62,5,0,59,0,399.70680369945626,0.0,13.32356012331521,0.0,79.94136073989125,2.664712024663042
63,3,0,49,0,307.16830820012945,0.0,10.238943606670983,0.0,102.38943606670982,3.4129812022236607
64,4,2,53,17,365.82988216568134,164.03059132807527,12.194329405522708,5.46768637760251,91.45747054142034,3.048582351380677
65,4,7,65,97,422.2281448386134,648.4507823294502,14.074271494620445,21.615026077648338,105.55703620965335,3.5185678736551114
66,4,0,60,0,361.611162897858,0.0,12.0537054299286,0.0,90.4027907244645,3.01342635748215
67,3,0,37,0,256.391614333176,0.0,8.546387144439201,0.0,85.463871444392,2.848795714813067
68,4,0,52,0,325.9307745745362,0.0,10.86435915248454,0.0,81.48269364363405,2.716089788121135
69,3,0,39,0,278.70359706109997,0.0,9.290119902036665,0.0,92.90119902036666,3.0967066340122216
70,5,0,73,0,415.6313188267861,0.0,13.854377294226204,0.0,83.12626376535722,2.7708754588452407
71,3,0,30,0,215.87585730277243,0.0,7.195861910092415,0.0,71.95861910092414,2.3986206366974714
72,3,0,38,0,246.32280504661892,0.0,8.21076016822063,0.0,82.10760168220631,2.7369200560735436
73,3,0,30,0,197.26687627168647,0.0,6.575562542389549,0.0,65.7556254238955,2.191854180796516
74,5,0,66,0,462.63487620860474,0.0,15.421162540286822,0.0,92.52697524172095,3.0842325080573643
75,4,0,75,0,429.29273569007296,0.0,14.309757856335766,0.0,107.32318392251824,3.5774394640839415
76,1,0,13,0,93.79097001228449,0.0,3.1263656670761497,0.0,93.79097001228449,3.1263656670761497
77,5,1,67,16,427.4602533112616,93.74237323546105,14.24867511037539,3.124745774515368,85.49205066225232,2.8497350220750777
78,1,0,7,0,77.28755162760831,0.0,2.576251720920277,0.0,77.28755162760831,2.576251720920277
79,2,0,16,0,156.41480676233058,0.0,5.213826892077686,0.0,78.20740338116529,2.606913446038843
80,4,0,50,0,403.0092259200346,0.0,13.433640864001157,0.0,100.75230648000866,3.3584102160002893
81,1,0,8,0,70.13977405036255,0.0,2.3379924683454183,0.0,70.13977405036255,2.3379924683454183
82,3,0,40,0,257.4845867710614,0.0,8.58281955903538,0.0,85.8281955903538,2.8609398530117933
83,3,0,34,0,238.54855417608394,0.0,7.951618472536132,0.0,79.51618472536131,2.6505394908453774
84,1,0,11,0,95.76649310785605,0.0,3.192216436928535,0.0,95.76649310785605,3.192216436928535
85,1,0,11,0,84.31930133351393,0.0,2.810643377783798,0.0,84.31930133351393,2.810643377783798
86,3,0,46,0,297.02804356738113,0.0,9.90093478557937,0.0,99.0093478557937,3.3003115951931234
87,1,0,2,0,18.509898997879763,0.0,0.6169966332626587,0.0,18.509898997879763,0.6169966332626587
88,1,0,5,0,66.1525041364372,0.0,2.2050834712145733,0.0,66.1525041364372,2.2050834712145733
89,4,0,42,0,328.49143763441043,0.0,10.949714587813682,0.0,82.12285940860261,2.7374286469534206
90,1,0,8,0,56.02804692468166,0.0,1.8676015641560553,0.0,56.02804692468166,1.8676015641560553
91,4,0,49,0,346.22989000262527,0.0,11.540996333420845,0.0,86.55747250065632,2.885249083355211
92,3,0,48,0,303.94313166666205,0.0,10.131437722222067,0.0,101.31437722222068,3.3771459074073555
93,1,0,16,0,88.51285292079072,0.0,2.950428430693024,0.0,88.51285292079072,2.950428430693024
94,3,0,30,0,243.28425189956616,0.0,8.109475063318872,0.0,81.09475063318872,2.703158354439624
95,5,0,58,0,409.7331911912202,0.0,13.657773039707337,0.0,81.94663823824405,2.7315546079414674
96,3,0,49,0,262.1801944393847,0.0,8.739339814646158,0.0,87.39339814646156,2.913113271548719
97,4,0,52,0,341.08628000981435,0.0,11.369542666993812,0.0,85.27157000245359,2.842385666748453
98,3,0,38,0,301.1380445814192,0.0,10.037934819380638,0.0,100.3793481938064,3.3459782731268795
99,5,0,61,0,418.10905653863034,0.0,13.93696855128768,0.0,83.62181130772606,2.787393710257536
100,1,0,8,0,70.72970559746167,0.0,2.3576568532487223,0.0,70.72970559746167,2.3576568532487223
101,5,4,60,57,424.4722170024773,375.4443082465013,14.149073900082579,12.514810274883375,84.89444340049546,2.8298147800165157
102,2,0,30,0,221.4674636507002,0.0,7.382248788356675,0.0,110.7337318253501,3.6911243941783374
103,1,0,3,0,26.590358115165074,0.0,0.8863452705055025,0.0,26.590358115165074,0.8863452705055025
104,4,2,51,20,366.8427148183305,168.8526679409847,12.22809049394435,5.6284222646994895,91.71067870458262,3.0570226234860876
105,4,0,44,0,381.342886670712,0.0,12.7114295556904,0.0,95.335721667678,3.1778573889226
106,4,0,60,0,381.96241264804604,0.0,12.732080421601536,0.0,95.49060316201151,3.183020105400384
107,2,0,24,0,192.6020569191524,0.0,6.420068563971746,0.0,96.3010284595762,3.210034281985873
108,4,0,61,0,390.1518012145862,0.0,13.005060040486207,0.0,97.53795030364655,3.2512650101215517
109,2,0,19,0,127.13475105492732,0.0,4.237825035164244,0.0,63.56737552746366,2.118912517582122
110,4,0,53,0,373.95854217622536,0.0,12.465284739207512,0.0,93.48963554405634,3.116321184801878
111,3,0,29,0,261.97597963448993,0.0,8.732532654482997,0.0,87.32532654482998,2.910844218160999
112,5,0,59,0,447.10940755395194,0.0,14.903646918465064,0.0,89.42188151079039,2.9807293836930127
113,2,0,31,0,192.0536121251314,0.0,6.401787070837713,0.0,96.0268060625657,3.2008935354188566
114,2,0,23,0,177.27729534319897,0.0,5.909243178106632,0.0,88.63864767159949,2.954621589053316
115,4,0,55,0,371.3531740457723,0.0,12.378439134859075,0.0,92.83829351144307,3.094609783714769
116,4,0,58,0,390.4639975199836,0.0,13.015466583999451,0.0,97.6159993799959,3.253866645999863
117,4,0,51,0,363.2021628327726,0.0,12.10673876109242,0.0,90.80054070819315,3.026684690273105
118,4,0,46,0,341.83497824085583,0.0,11.394499274695194,0.0,85.45874456021396,2.8486248186737986
119,3,0,45,0,277.1794719179583,0.0,9.23931573059861,0.0,92.39315730598611,3.0797719101995367
120,1,0,12,0,95.61374936012719,0.0,3.1871249786709064,0.0,95.61374936012719,3.1871249786709064
121,3,0,29,0,221.48551837729354,0.0,7.382850612576452,0.0,73.82850612576452,2.4609502041921507
122,1,0,12,0,96.71002380332,0.0,3.2236674601106667,0.0,96.71002380332,3.2236674601106667
123,4,0,49,0,331.2987270587502,0.0,11.04329090195834,0.0,82.82468176468755,2.760822725489585
124,4,1,47,4,372.0571393599238,66.53171939422518,12.401904645330793,2.217723979807506,93.01428483998095,3.1004761613326983
125,4,1,63,14,388.28735086625113,86.6316337337862,12.942911695541707,2.88772112445954,97.07183771656278,3.2357279238854266
126,2,0,26,0,192.52378461918124,0.0,6.417459487306042,0.0,96.26189230959062,3.208729743653021
127,1,0,14,0,91.6399885279802,0.0,3.0546662842660064,0.0,91.6399885279802,3.0546662842660064
128,1,0,8,0,67.3993578884619,0.0,2.2466452629487303,0.0,67.3993578884619,2.2466452629487303
129,5,7,70,104,438.8860023323338,670.6646994678283,14.629533411077793,22.355489982260945,87.77720046646677,2.9259066822155586
130,3,0,49,0,311.09860372487344,0.0,10.369953457495782,0.0,103.69953457495781,3.456651152498594
131,2,0,25,0,179.43809167250166,0.0,5.981269722416722,0.0,89.71904583625083,2.990634861208361
132,2,0,23,0,164.35725877090994,0.0,5.478575292363664,0.0,82.17862938545497,2.739287646181832
133,4,1,58,10,347.29562941146867,100.2633969410982,11.576520980382288,3.34211323136994,86.82390735286717,2.894130245095572
134,4,2,57,38,379.4993231035791,217.36884126522645,12.649977436785967,7.245628042174215,94.87483077589478,3.162494359196492
