,Number of Completed Trips,Number of Uncompleted Trips,Number of Completed Orders,Number of Uncompleted Orders,Total Distance Completed Orders (km),Total Distance Uncompleted Orders (km),Total Time Completed Orders (hrs),Total Time Uncompleted Orders (hrs),Average Distance for Successful Orders (km),Average Time for Successful Orders (hrs)
0,3,0,36,0,293.5162193404817,0.0,9.783873978016057,0.0,97.83873978016057,3.2612913260053524
1,2,0,20,0,131.25119599124196,0.0,4.375039866374732,0.0,65.62559799562098,2.187519933187366
2,4,0,70,0,435.0224902895558,0.0,14.500749676318526,0.0,108.75562257238894,3.6251874190796314
3,1,0,8,0,79.79209461802657,0.0,2.659736487267552,0.0,79.79209461802657,2.659736487267552
4,2,0,19,0,174.84202573736843,0.0,5.828067524578948,0.0,87.42101286868422,2.914033762289474
5,4,0,51,0,426.15109318840354,0.0,14.205036439613451,0.0,106.53777329710088,3.551259109903363
6,3,0,37,0,267.82958715792154,0.0,8.92765290526405,0.0,89.27652905264051,2.9758843017546837
7,1,0,8,0,70.75983780841608,0.0,2.358661260280536,0.0,70.75983780841608,2.358661260280536
8,3,0,43,0,289.1941957116922,0.0,9.639806523723074,0.0,96.39806523723074,3.2132688412410246
9,5,0,58,0,416.96051399450437,0.0,13.898683799816812,0.0,83.39210279890088,2.7797367599633622
10,7,3,88,35,611.0380933486111,305.2082085533714,20.367936444953706,10.173606951779044,87.29115619265873,2.909705206421958
11,6,0,89,0,596.5202399211936,0.0,19.88400799737312,0.0,99.4200399868656,3.3140013328955202
12,5,0,62,0,500.95601612933746,0.0,16.698533870977915,0.0,100.1912032258675,3.339706774195583
13,1,0,12,0,73.83368589141085,0.0,2.4611228630470285,0.0,73.83368589141085,2.4611228630470285
14,2,0,26,0,187.64351158251316,0.0,6.254783719417105,0.0,93.82175579125658,3.1273918597085526
15,3,0,38,0,250.1362573603963,0.0,8.337875245346543,0.0,83.37875245346544,2.779291748448848
16,4,0,58,0,399.62597500537055,0.0,13.320865833512352,0.0,99.90649375134264,3.330216458378088
17,4,0,43,0,365.9218864878973,0.0,12.197396216263243,0.0,91.48047162197433,3.049349054065811
18,4,0,45,0,332.3456754009838,0.0,11.078189180032792,0.0,83.08641885024595,2.769547295008198
19,4,0,53,0,360.14098352011746,0.0,12.00469945067058,0.0,90.03524588002936,3.001174862667645
20,2,0,21,0,128.44911933289234,0.0,4.281637311096412,0.0,64.22455966644617,2.140818655548206
21,4,0,47,0,388.27711191140196,0.0,12.942570397046731,0.0,97.06927797785049,3.235642599261683
22,2,0,27,0,175.61651338095868,0.0,5.853883779365289,0.0,87.80825669047934,2.9269418896826447
23,2,0,26,0,179.3284594249472,0.0,5.977615314164906,0.0,89.6642297124736,2.988807657082453
24,1,0,6,0,66.30800081638378,0.0,2.2102666938794595,0.0,66.30800081638378,2.2102666938794595
25,5,0,50,0,447.3045181498569,0.0,14.91015060499523,0.0,89.46090362997138,2.9820301209990463
26,4,0,45,0,338.1644366210347,0.0,11.272147887367826,0.0,84.54110915525868,2.8180369718419565
27,7,4,109,55,634.6146274545914,421.79555450514454,21.153820915153048,14.059851816838151,90.65923249351306,3.0219744164504356
28,5,0,60,0,423.3989112815395,0.0,14.113297042717983,0.0,84.6797822563079,2.8226594085435965
29,3,0,40,0,313.26940208355927,0.0,10.442313402785308,0.0,104.4231340278531,3.480771134261769
30,5,0,58,0,431.59417065959155,0.0,14.386472355319718,0.0,86.31883413191831,2.8772944710639434
31,2,0,22,0,176.3123341951445,0.0,5.877077806504817,0.0,88.15616709757225,2.9385389032524083
32,7,0,84,0,587.0381667623678,0.0,19.56793889207893,0.0,83.86259525176683,2.7954198417255616
33,4,0,49,0,353.62010345800354,0.0,11.787336781933451,0.0,88.40502586450089,2.946834195483363
34,3,0,37,0,300.5994059562891,0.0,10.019980198542969,0.0,100.1998019854297,3.339993399514323
35,3,0,28,0,231.11854626251534,0.0,7.7039515420838445,0.0,77.03951542083844,2.5679838473612815
36,4,0,52,0,333.77875648296316,0.0,11.125958549432106,0.0,83.44468912074079,2.7814896373580265
37,1,0,15,0,87.91709228748087,0.0,2.930569742916029,0.0,87.91709228748087,2.930569742916029
38,6,2,88,27,612.06364343078,181.74018006552834,20.402121447692664,6.058006002184278,102.01060723846332,3.400353574615444
39,4,0,49,0,354.85697194811394,0.0,11.828565731603797,0.0,88.71424298702848,2.9571414329009493
40,3,0,46,0,274.1663845019954,0.0,9.138879483399847,0.0,91.38879483399847,3.0462931611332826
41,4,0,51,0,360.64611181439716,0.0,12.021537060479906,0.0,90.16152795359929,3.0053842651199765
42,3,0,35,0,283.36428404810107,0.0,9.445476134936701,0.0,94.45476134936702,3.1484920449789002
43,2,0,22,0,162.03070624829553,0.0,5.4010235416098515,0.0,81.01535312414777,2.7005117708049258
44,6,0,64,0,525.7425230414015,0.0,17.52475076804672,0.0,87.62375384023358,2.9207917946744533
45,4,0,44,0,334.60344036361346,0.0,11.153448012120448,0.0,83.65086009090336,2.788362003030112
46,5,0,56,0,367.7711731913407,0.0,12.259039106378024,0.0,73.55423463826814,2.451807821275605
47,1,0,12,0,88.16682940151291,0.0,2.9388943133837637,0.0,88.16682940151291,2.9388943133837637
48,1,0,7,0,71.31534336409966,0.0,2.3771781121366553,0.0,71.31534336409966,2.3771781121366553
49,6,0,79,0,527.8447079891746,0.0,17.594823599639152,0.0,87.97411799819577,2.9324705999398586
50,3,0,40,0,247.9090344678471,0.0,8.263634482261569,0.0,82.6363448226157,2.754544827420523
51,2,0,24,0,201.98469322354143,0.0,6.732823107451381,0.0,100.99234661177071,3.3664115537256905
52,2,0,19,0,151.68574183320754,0.0,5.056191394440251,0.0,75.84287091660377,2.5280956972201256
53,4,0,56,0,372.1499182789945,0.0,12.404997275966481,0.0,93.03747956974863,3.1012493189916204
54,3,0,36,0,293.13323928191124,0.0,9.771107976063709,0.0,97.71107976063708,3.2570359920212364
55,3,0,33,0,275.199572596448,0.0,9.173319086548267,0.0,91.73319086548265,3.057773028849422
56,3,0,50,0,316.25705504286634,0.0,10.541901834762212,0.0,105.41901834762211,3.513967278254071
57,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
58,6,0,81,0,581.4838083937192,0.0,19.382793613123976,0.0,96.91396806561987,3.2304656021873295
59,4,0,53,0,332.91975296792066,0.0,11.097325098930686,0.0,83.22993824198016,2.7743312747326714
60,1,0,5,0,74.25547103051427,0.0,2.475182367683809,0.0,74.25547103051427,2.475182367683809
61,1,0,8,0,69.13202096812843,0.0,2.3044006989376142,0.0,69.13202096812843,2.3044006989376142
62,3,0,37,0,280.4280631110649,0.0,9.347602103702163,0.0,93.47602103702162,3.115867367900721
63,5,0,56,0,399.66709726481685,0.0,13.322236575493896,0.0,79.93341945296336,2.664447315098779
64,4,0,56,0,426.0637515944468,0.0,14.202125053148226,0.0,106.5159378986117,3.5505312632870565
65,4,0,50,0,357.2150735966775,0.0,11.90716911988925,0.0,89.30376839916937,2.9767922799723125
66,2,0,18,0,170.82553687813825,0.0,5.694184562604608,0.0,85.41276843906913,2.847092281302304
67,6,0,67,0,438.80692017378584,0.0,14.626897339126195,0.0,73.13448669563097,2.437816223187699
68,1,0,8,0,82.73659127655559,0.0,2.757886375885186,0.0,82.73659127655559,2.757886375885186
69,6,1,94,8,622.4705509371652,82.03147078214731,20.74901836457217,2.7343823594049104,103.74509182286086,3.458169727428695
70,3,0,38,0,264.83855873478575,0.0,8.827951957826192,0.0,88.27951957826191,2.9426506526087306
71,3,0,25,0,211.85504753657824,0.0,7.061834917885942,0.0,70.61834917885942,2.353944972628647
72,2,0,21,0,171.39099969842516,0.0,5.713033323280839,0.0,85.69549984921258,2.8565166616404194
73,6,0,78,0,549.9469485006917,0.0,18.331564950023054,0.0,91.6578247501153,3.055260825003842
74,3,0,48,0,275.87390738598776,0.0,9.19579691286626,0.0,91.95796912866258,3.065265637622087
75,5,0,68,0,458.7565853851015,0.0,15.291886179503386,0.0,91.7513170770203,3.0583772359006773
76,4,0,44,0,341.99831778825217,0.0,11.399943926275075,0.0,85.49957944706304,2.8499859815687687
77,4,0,53,0,368.53025860979835,0.0,12.284341953659943,0.0,92.13256465244959,3.071085488414986
78,3,0,38,0,276.95008124565607,0.0,9.231669374855201,0.0,92.31669374855203,3.077223124951734
79,4,0,46,0,345.68993652163596,0.0,11.522997884054531,0.0,86.42248413040899,2.8807494710136328
80,3,0,25,0,201.29297736281802,0.0,6.709765912093934,0.0,67.09765912093934,2.2365886373646444
81,6,0,79,0,603.6888981245215,0.0,20.122963270817383,0.0,100.61481635408693,3.3538272118028973
82,5,0,60,0,468.12931763038927,0.0,15.604310587679642,0.0,93.62586352607785,3.1208621175359283
83,2,0,17,0,141.966107603468,0.0,4.732203586782267,0.0,70.983053801734,2.3661017933911337
84,3,0,43,0,285.4160784268713,0.0,9.513869280895712,0.0,95.1386928089571,3.1712897602985706
85,5,0,59,0,395.9164018477663,0.0,13.197213394925543,0.0,79.18328036955326,2.6394426789851084
86,6,0,68,0,522.0178376350611,0.0,17.400594587835375,0.0,87.00297293917686,2.9000990979725625
87,2,0,25,0,194.49576484477814,0.0,6.483192161492605,0.0,97.24788242238907,3.2415960807463025
88,2,0,23,0,183.42189243199513,0.0,6.114063081066504,0.0,91.71094621599757,3.057031540533252
89,1,0,9,0,78.61639060780155,0.0,2.620546353593385,0.0,78.61639060780155,2.620546353593385
90,6,1,77,8,547.6501790028174,65.53629692789445,18.25500596676058,2.184543230929815,91.27502983380289,3.042500994460097
91,2,0,29,0,196.62771086750269,0.0,6.554257028916757,0.0,98.31385543375134,3.2771285144583784
92,5,0,74,0,488.66737538387684,0.0,16.288912512795893,0.0,97.73347507677536,3.2577825025591785
93,6,2,73,26,574.4428496781378,182.74552457898133,19.148094989271257,6.091517485966044,95.7404749463563,3.191349164878543
94,5,0,72,0,459.23952557234713,0.0,15.307984185744903,0.0,91.84790511446943,3.0615968371489806
95,1,0,15,0,127.70659239349575,0.0,4.256886413116525,0.0,127.70659239349575,4.256886413116525
96,5,0,68,0,498.405350689731,0.0,16.6135116896577,0.0,99.6810701379462,3.3227023379315397
